,,,,,,,,,Model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,n,0.038,0.039,0.035,0.062,0.048,0.066,0.076,0.074,0.048,0.044,0.078,0.032,0.040,0.048,0.058,0.054,0.043,0.039,0.060,0.037,0.027,0.062,0.066,0.069,0.055,0.052,0.049,0.026,0.058,0.065,0.050,0.037,0.066,0.022,0.059,0.061,0.043,0.065,0.029,0.052,0.044,0.044,0.059,0.068,0.038,0.050,0.050,0.074,0.061,0.024,0.031,0.051,0.046,0.045,0.031,0.042,0.058,0.038,0.068,0.032,0.036,0.058,0.043,0.073,0.037,0.056,0.055,0.037,0.061,0.046,0.055,0.041,0.042,0.060,0.038,0.066,0.060,0.040,0.030,0.037,0.044,0.055,0.068,0.052,0.067,0.077,0.061,0.055,0.049,0.048,0.041,0.051,0.069,0.041,0.040,0.053,0.050,0.063,0.072,0.046,0.067,0.054,0.057,0.058,0.057,0.056,0.037,0.056,0.077,0.057,0.052,0.066,0.051,0.045,0.032,0.049,0.073,0.044,0.044,0.047,0.028,0.061,0.060,0.066,0.017,0.059,0.069,0.040,0.034,0.045,0.050,0.070,0.071,0.039,0.033,0.033,0.029,0.077,0.040,0.064,0.047,0.078,0.053,0.050,0.048,0.071,0.043,0.037,0.039,0.038,0.033,0.049,0.061,0.048,0.033,0.053,0.043,0.066,0.055,0.062,0.054,0.037,0.046,0.043,0.055,0.053,0.050,0.056,0.056,0.050,0.068,0.043,0.063,0.048,0.052,0.072,0.045,0.029,0.051,0.052,0.049,0.037,0.030,0.036,0.046,0.040,0.066,0.042,0.043,0.045,0.044,0.042,0.039,0.048,0.036,0.039,0.050,0.047,0.072,0.045,0.033,0.056,0.059,0.043,0.057,0.059,0.032,0.052,0.070,0.048,0.031,0.069,0.057,0.054,0.038,0.046,0.032,0.039,0.090,0.060,0.069,0.056,0.032,0.030,0.050,0.074,0.047,0.033,0.081,0.048,0.057,0.082,0.045,0.038,0.048,0.054,0.031,0.035,0.033,0.041,0.043,0.072,0.045,0.048,0.078,0.046,0.045,0.034,0.050,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.258,,,,Q,62093,80781,157967,71842,106532,109127,150283,240507,181124,173525,167665,141833,150626,187685,109271,167919,184417,165628,92064,159029,162620,213772,171094,105265,122419,91400,168634,158585,154085,149228,201619,121054,129691,157282,189639,116854,111601,172394,85883,165492,127086,200179,104856,131870,174400,144234,105853,215721,99086,93873,164876,173699,204668,99256,163597,233518,94175,94630,155947,146698,152088,26170,119712,232731,244207,173873,122090,153677,117584,96202,122335,220012,151809,216083,168436,148155,116265,224371,142774,79069,235552,132013,107261,199824,221678,144700,80157,170039,197066,172641,129928,154599,128753,112971,190399,48803,155454,173336,168314,143387,82904,48122,64206,211565,167339,184232,179283,152507,176250,182959,185849,214539,145494,108559,127112,150159,126388,120215,157388,218122,121401,147150,167273,97110,166107,123886,226928,137222,144700,115211,135092,145003,202449,138834,227095,195090,98901,150306,216088,160862,230492,161074,186980,134285,82570,177819,147043,211702,96741,51562,150521,152327,215627,209867,118094,230776,156967,160646,158611,265584,170583,184679,183301,103419,169721,130797,117892,182777,153115,220920,107025,217506,238962,201886,160261,175171,94565,98700,132744,152539,184861,231751,127147,175599,153369,63270,80447,147335,102470,75023,212924,147952,246519,56739,162670,174932,140352,77636,166564,124153,150521,152327,215627,209867,118094,230776,156967,160646,158611,265584,170583,184679,183301,103419,169721,130797,117892,182777,153115,220920,107025,217506,238962,201886,160261,175171,94565,98700,132744,152539,184861,231751,127147,175599,153369,63270,80447,147335,102470,75023,212924,147952,246519,56739,162670,174932,140352,77636,166564,124153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XS,DIFF,MAX,AVERAGE,MIN,STDEV,99th PCT,90thPCT,10th PCT,1st PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90674,18.52,1922.44,1912.6854,1903.92,4.156,1921.7834,1917.039,1908.508,1904.0376,1903.92,1906.05,1911.12,1908.59,1909.96,1912.82,1916.95,1922.44,1915.07,1913.93,1918.39,1909.39,1911.66,1915.4,1911.71,1915.26,1914.4,1912.42,1910.49,1911.58,1909.45,1918.96,1917.03,1912.91,1912.34,1909.25,1914.54,1908.93,1915.01,1915.64,1916.39,1909.03,1914.5,1907.77,1917.12,1912.79,1909.49,1916.96,1904.58,1914.85,1910.87,1915.37,1911.47,1914.87,1912.74,1913.12,1910.24,1921.1,1911.24,1904.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90230,23.05480684,1923.167307,1913.063588,1900.1125,4.193,1922.005059,1918.182094,1907.187051,1903.9078,1903.8,1905.92,1911.01,1908.48,1909.86,1912.72,1916.86,1922.36,1914.94,1913.84,1918.3,1909.28,1911.56,1915.27,1911.61,1915.13,1914.27,1912.32,1910.39,1911.48,1909.35,1918.87,1916.94,1912.8,1912.24,1909.14,1914.41,1908.83,1914.88,1915.55,1916.31,1908.92,1914.39,1907.62,1917.03,1912.68,1909.38,1916.87,1904.45,1914.73,1910.76,1915.23,1911.37,1914.76,1912.65,1913.02,1910.14,1921.02,1911.13,1904.02,1910.545333,1915.125333,1915.927167,1908.709833,1910.4635,1916.567167,1910.249833,1907.038,1916.4035,1909.6535,1910.8635,1900.1125,1909.9935,1921.875333,1916.239,1915.855333,1912.201667,1911.1835,1912.7335,1908.609833,1912.2135,1915.829,1912.065333,1918.745333,1912.315333,1915.655333,1912.481667,1915.849,1908.9335,1905.4325,1917.037167,1912.9735,1912.8035,1916.545333,1920.345333,1916.6435,1909.269833,1915.485333,1916.047167,1914.555333,1910.381667,1913.925333,1914.7135,1909.121667,1914.085333,1904.3225,1913.815333,1916.7035,1917.5735,1912.2535,1910.398662,1904.383631,1906.984904,1918.289936,1915.739936,1916.519936,1912.929936,1914.679936,1919.039936,1916.609936,1916.043694,1919.733694,1913.416178,1909.598662,1908.45242,1913.389936,1915.076178,1910.338662,1912.959936,1916.823694,1907.104904,1915.026178,1916.169936,1911.69242,1907.196178,1913.066178,1920.989936,1910.83242,1910.10242,1910.128662,1912.486178,1916.069936,1919.749936,1910.746178,1914.773694,1912.979936,1905.626115,1917.126178,1915.597452,1916.296178,1917.333694,1918.046178,1916.259936,1912.426178,1907.734904,1918.239936,1912.076178,1914.823694,1907.508662,1902.452357,1910.338182,1913.603939,1918.903939,1916.629697,1908.092424,1918.303939,1912.823939,1916.528182,1914.938182,1922.129697,1915.473939,1913.369697,1914.979697,1908.870909,1915.573939,1912.718182,1911.212424,1916.423939,1914.763939,1917.303939,1912.918182,1916.189697,1920.699697,1916.193939,1914.613939,1918.178182,1908.436667,1905.677879,1912.538182,1914.123939,1915.503939,1915.855455,1908.092424,1912.543939,1913.133939,1904.353636,1910.036667,1911.943939,1908.792424,1906.510909,1916.139697,1911.988182,1916.825455,1904.809394,1911.753939,1913.183939,1912.928182,1907.100909,1917.578182,1910.852424,1910.141634,1914.557307,1918.507307,1915.617307,1912.171634,1919.407307,1910.311634,1914.43947,1916.857307,1919.157307,1910.871634,1918.217307,1916.497307,1910.493797,1912.33947,1911.331634,1907.781634,1913.34947,1918.81947,1918.997307,1912.911634,1918.087307,1914.855143,1912.33947,1914.09947,1918.31947,1908.67596,1906.478124,1916.33947,1913.21947,1916.597307,1923.167307,1910.891634,1912.69947,1913.27947,1906.44596,1904.44245,1910.351634,1906.788124,1905.790287,1915.767307,1916.35947,1917.577307,1904.768124,1917.97947,1914.307307,1911.821634,1904.77245,1914.477307,1910.503797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89740,23.1304389,1923.087405,1912.974459,1899.956966,4.211,1921.931106,1918.097614,1907.130124,1903.6984,1903.62,1905.79,1910.93,1908.37,1909.76,1912.62,1916.77,1922.29,1914.88,1913.75,1918.21,1909.2,1911.47,1915.21,1911.5,1915.07,1914.18,1912.24,1910.28,1911.4,1909.27,1918.8,1916.86,1912.7,1912.14,1909.04,1914.32,1908.75,1914.81,1915.46,1916.23,1908.82,1914.29,1907.55,1916.95,1912.58,1909.28,1916.79,1904.25,1914.66,1910.66,1915.18,1911.26,1914.67,1912.57,1912.92,1910.03,1920.94,1911.02,1903.78,1910.468989,1915.047154,1915.857154,1908.603483,1910.380824,1916.498989,1910.139813,1906.921648,1916.315318,1909.565318,1910.777154,1899.956966,1909.901648,1921.797154,1916.180824,1915.777154,1912.103483,1911.097154,1912.643483,1908.501648,1912.123483,1915.768989,1911.985318,1918.665318,1912.237154,1915.573483,1912.383483,1915.788989,1908.843483,1905.289813,1916.968989,1912.883483,1912.711648,1916.467154,1920.267154,1916.553483,1909.157978,1915.405318,1915.977154,1914.477154,1910.283483,1913.845318,1914.623483,1909.021648,1914.008989,1904.172472,1913.735318,1916.615318,1917.485318,1912.165318,1910.288776,1904.237533,1906.865029,1918.213767,1915.660019,1916.443767,1912.857514,1914.600019,1918.960019,1916.533767,1915.970019,1919.660019,1913.330019,1909.492524,1908.363767,1913.310019,1914.986272,1910.236272,1912.883767,1916.757514,1907.007514,1914.940019,1916.090019,1911.592524,1907.143748,1912.976272,1920.913767,1910.740019,1910.013767,1910.026272,1912.400019,1915.986272,1919.670019,1910.660019,1914.71501,1912.911262,1905.490019,1917.036272,1915.537514,1916.210019,1917.263767,1917.960019,1916.183767,1912.340019,1907.618776,1918.160019,1911.990019,1914.761262,1907.402524,1902.272543,1910.259805,1913.524063,1918.829805,1916.559805,1908.004063,1918.229805,1912.744063,1916.444063,1914.859805,1922.059805,1915.394063,1913.305547,1914.909805,1908.762578,1915.499805,1912.62832,1911.11832,1916.349805,1914.684063,1917.229805,1912.822578,1916.125547,1920.629805,1916.125547,1914.539805,1918.094063,1908.332578,1905.55832,1912.454063,1914.044063,1915.429805,1915.801289,1908.009805,1912.469805,1913.054063,1904.209609,1909.926836,1911.864063,1908.686836,1906.391094,1916.075547,1911.904063,1916.771289,1904.669609,1911.679805,1913.115547,1912.844063,1906.986836,1917.494063,1910.75832,1910.057405,1914.477405,1918.427405,1915.553054,1912.079581,1919.33523,1910.227405,1914.36523,1916.769581,1919.093054,1910.79523,1918.129581,1916.417405,1910.391756,1912.26523,1911.239581,1907.689581,1913.27523,1918.729581,1918.917405,1912.819581,1918.007405,1914.800878,1912.280878,1914.017405,1918.237405,1908.563932,1906.363932,1916.249581,1913.137405,1916.517405,1923.087405,1910.791756,1912.62523,1913.197405,1906.318283,1904.28481,1910.259581,1906.681756,1905.666108,1915.69523,1916.269581,1917.50523,1904.630459,1917.897405,1914.227405,1911.737405,1904.630459,1914.397405,1910.409581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89195,23.22686396,1923.012739,1912.894185,1899.785875,4.219,1921.861172,1918.019733,1907.153843,1903.588,1903.49,1905.69,1910.86,1908.26,1909.65,1912.52,1916.69,1922.21,1914.81,1913.67,1918.12,1909.11,1911.39,1915.14,1911.39,1914.99,1914.11,1912.16,1910.17,1911.32,1909.21,1918.72,1916.77,1912.6,1912.04,1908.92,1914.24,1908.71,1914.73,1915.38,1916.16,1908.74,1914.19,1907.53,1916.87,1912.48,1909.18,1916.7,1904.15,1914.57,1910.57,1915.11,1911.15,1914.57,1912.5,1912.84,1909.93,1920.86,1910.92,1903.69,1910.411227,1914.976841,1915.789034,1908.512455,1910.331227,1916.439034,1910.034648,1906.829034,1916.234648,1909.491227,1910.709034,1899.785875,1909.806841,1921.724648,1916.131227,1915.704648,1912.014648,1911.026841,1912.552455,1908.402455,1912.034648,1915.709034,1911.906841,1918.586841,1912.169034,1915.484648,1912.292455,1915.729034,1908.763421,1905.189034,1916.906841,1912.794648,1912.614648,1916.396841,1920.196841,1916.464648,1909.042455,1915.326841,1915.906841,1914.406841,1910.196841,1913.766841,1914.534648,1908.926841,1913.949034,1904.032455,1913.656841,1916.534648,1917.404648,1912.084648,1910.185737,1904.107171,1906.751454,1918.144303,1915.58002,1916.37002,1912.798585,1914.52002,1918.875737,1916.46002,1915.894303,1919.58002,1913.254303,1909.40002,1908.294303,1913.234303,1914.90002,1910.15002,1912.814303,1916.694303,1906.957151,1914.86002,1916.01002,1911.495737,1907.175697,1912.89002,1920.84002,1910.664303,1909.948585,1909.94002,1912.32002,1915.90002,1919.59002,1910.584303,1914.672868,1912.862868,1905.427151,1916.95002,1915.478585,1916.13002,1917.194303,1917.88002,1916.114303,1912.26002,1907.515737,1918.08002,1911.914303,1914.708585,1907.314303,1902.125737,1910.198618,1913.452342,1918.756065,1916.492342,1907.926065,1918.162342,1912.672342,1916.366065,1914.786065,1921.992342,1915.322342,1913.248618,1914.842342,1908.669789,1915.426065,1912.546065,1911.029789,1916.276065,1914.606065,1917.156065,1912.729789,1916.068618,1920.556065,1916.062342,1914.466065,1918.016065,1908.233512,1905.494894,1912.369789,1913.966065,1915.362342,1915.748618,1907.942342,1912.408618,1912.982342,1904.099789,1909.823512,1911.786065,1908.589789,1906.289789,1916.012342,1911.826065,1916.718618,1904.547236,1911.612342,1913.052342,1912.766065,1906.883512,1917.409789,1910.676065,1909.990919,1914.394559,1918.352739,1915.490919,1911.986379,1919.262739,1910.169099,1914.284559,1916.684559,1919.030919,1910.739099,1918.052739,1916.342739,1910.296379,1912.192739,1911.154559,1907.620919,1913.210919,1918.644559,1918.842739,1912.726379,1917.932739,1914.75728,1912.229099,1913.942739,1918.154559,1908.458199,1906.290919,1916.164559,1913.062739,1916.442739,1923.012739,1910.704559,1912.552739,1913.122739,1906.208199,1904.192739,1910.190919,1906.602739,1905.566379,1915.630919,1916.184559,1917.440919,1904.501839,1917.806379,1914.152739,1911.654559,1904.534559,1914.322739,1910.316379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
