Line Style,"Variable=Block Obstr, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Ground, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=4, Sym Color=1, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Bank Sta, Line Style=0, Line Color=0, Line Width=0, Sym Type=5, Sym Color=3, Sym Size=5, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=WS1, Line Style=1, Line Color=7, Line Width=0.5, Sym Type=0, Sym Color=7, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=-1, Legend Only=0"
Label,,Label,Ground,Label,Bank Sta,Label,WS CWCB-100yr
x,y,x,y,x,y,x,y
99,6598.619141,0,6612.310059,137.7200012,6590.700195,127,6598.532715
99,6610,1.980000019,6610.890137,,,187.9481049,6598.532715
127,6610,2.960000038,6610.180176,159.7700043,6590.720215,,
127,6594.631836,3.950000048,6609.470215,,,148.8000031,6598.532715
126.8700027,6594.680176,4.940000057,6608.77002,,,,
124.8700027,6595.399902,5.929999828,6608.160156,,,,
123.8799973,6595.759766,6.909999847,6607.72998,,,,
122.8799973,6596.129883,7.900000095,6607.350098,,,,
121.8799973,6596.490234,8.890000343,6606.959961,,,,
120.8899994,6596.839844,9.880000114,6606.580078,,,,
119.8899994,6597.149902,10.85999966,6606.200195,,,,
118.8899994,6597.430176,11.85000038,6605.819824,,,,
117.8899994,6597.640137,12.84000015,6605.439941,,,,
116.9000015,6597.77002,13.82999992,6605.069824,,,,
115.9000015,6597.879883,14.81999969,6604.689941,,,,
114.9000015,6598,15.80000019,6604.310059,,,,
113.9100037,6598.109863,16.79000092,6603.939941,,,,
112.9100037,6598.220215,18.77000046,6603.180176,,,,
111.9100037,6598.339844,19.75,6602.799805,,,,
110.9199982,6598.419922,20.73999977,6602.439941,,,,
109.9199982,6598.459961,21.72999954,6602.089844,,,,
108.9199982,6598.470215,22.71999931,6601.77002,,,,
106.9300003,6598.470215,23.70999908,6601.439941,,,,
105.9300003,6598.490234,24.69000053,6601.140137,,,,
104.9300003,6598.5,25.68000031,6600.899902,,,,
103.9400024,6598.52002,26.67000008,6600.790039,,,,
100.9400024,6598.580078,27.65999985,6600.75,,,,
99.94999695,6598.600098,28.63999939,6600.72998,,,,
,,29.62999916,6600.709961,,,,
,,30.62000084,6600.689941,,,,
,,31.61000061,6600.669922,,,,
,,32.59000015,6600.669922,,,,
,,33.58000183,6600.680176,,,,
,,34.56999969,6600.680176,,,,
,,35.56000137,6600.669922,,,,
,,36.54999924,6600.620117,,,,
,,37.52999878,6600.549805,,,,
,,38.52000046,6600.490234,,,,
,,39.50999832,6600.470215,,,,
,,40.5,6600.470215,,,,
,,41.47999954,6600.490234,,,,
,,42.47000122,6600.509766,,,,
,,43.45999908,6600.52002,,,,
,,44.45000076,6600.560059,,,,
,,45.43999863,6600.609863,,,,
,,46.41999817,6600.689941,,,,
,,47.40999985,6600.72998,,,,
,,48.40000153,6600.660156,,,,
,,49.38999939,6600.459961,,,,
,,50.36999893,6600.350098,,,,
,,51.36000061,6600.27002,,,,
,,52.34999847,6600.200195,,,,
,,53.34000015,6600.120117,,,,
,,54.31999969,6600.049805,,,,
,,55.31000137,6599.97998,,,,
,,56.29999924,6599.919922,,,,
,,57.29000092,6599.850098,,,,
,,58.27999878,6599.790039,,,,
,,59.25999832,6599.72998,,,,
,,60.25,6599.669922,,,,
,,61.24000168,6599.620117,,,,
,,62.22999954,6599.560059,,,,
,,63.20999908,6599.5,,,,
,,64.19999695,6599.439941,,,,
,,65.19000244,6599.339844,,,,
,,66.18000031,6599.240234,,,,
,,67.16999817,6599.200195,,,,
,,69.13999939,6599.200195,,,,
,,70.12999725,6599.209961,,,,
,,71.12000275,6599.209961,,,,
,,72.09999847,6599.220215,,,,
,,73.08999634,6599.209961,,,,
,,74.08000183,6599.200195,,,,
,,75.06999969,6599.180176,,,,
,,76.05000305,6599.180176,,,,
,,77.04000092,6599.189941,,,,
,,78.02999878,6599.200195,,,,
,,79.01999664,6599.200195,,,,
,,80.01000214,6599.180176,,,,
,,81,6599.169922,,,,
,,82,6599.169922,,,,
,,83,6599.160156,,,,
,,83.98999786,6599.149902,,,,
,,84.98999786,6599.109863,,,,
,,85.98999786,6599.089844,,,,
,,86.98999786,6599.049805,,,,
,,87.98000336,6598.97998,,,,
,,88.98000336,6598.939941,,,,
,,89.98000336,6598.930176,,,,
,,90.97000122,6598.919922,,,,
,,91.97000122,6598.910156,,,,
,,92.97000122,6598.890137,,,,
,,93.95999908,6598.879883,,,,
,,94.95999908,6598.870117,,,,
,,95.95999908,6598.879883,,,,
,,96.95999908,6598.879883,,,,
,,97.94999695,6598.759766,,,,
,,98.94999695,6598.620117,,,,
,,99.94999695,6598.600098,,,,
,,100.9400024,6598.580078,,,,
,,103.9400024,6598.52002,,,,
,,104.9300003,6598.5,,,,
,,105.9300003,6598.490234,,,,
,,106.9300003,6598.470215,,,,
,,108.9199982,6598.470215,,,,
,,109.9199982,6598.459961,,,,
,,110.9199982,6598.419922,,,,
,,111.9100037,6598.339844,,,,
,,112.9100037,6598.220215,,,,
,,113.9100037,6598.109863,,,,
,,114.9000015,6598,,,,
,,115.9000015,6597.879883,,,,
,,116.9000015,6597.77002,,,,
,,117.8899994,6597.640137,,,,
,,118.8899994,6597.430176,,,,
,,119.8899994,6597.149902,,,,
,,120.8899994,6596.839844,,,,
,,121.8799973,6596.490234,,,,
,,122.8799973,6596.129883,,,,
,,123.8799973,6595.759766,,,,
,,124.8700027,6595.399902,,,,
,,126.8700027,6594.680176,,,,
,,127.8700027,6594.310059,,,,
,,128.8600006,6593.950195,,,,
,,129.8600006,6593.589844,,,,
,,130.8600006,6593.22998,,,,
,,131.8500061,6592.870117,,,,
,,132.8500061,6592.5,,,,
,,133.8500061,6592.140137,,,,
,,134.8500061,6591.779785,,,,
,,135.8399963,6591.410156,,,,
,,136.8399963,6591.040039,,,,
,,137.7200012,6590.700195,,,,
,,137.8399963,6590.649902,,,,
,,138.8300018,6590.25,,,,
,,139.8300018,6589.830078,,,,
,,140.8300018,6589.399902,,,,
,,141.8300018,6588.970215,,,,
,,142.8200073,6588.589844,,,,
,,143.8200073,6588.359863,,,,
,,144.8200073,6588.189941,,,,
,,145.8099976,6588.060059,,,,
,,146.8099976,6588,,,,
,,147.8099976,6587.970215,,,,
,,148.8000031,6587.959961,,,,
,,149.8000031,6587.970215,,,,
,,150.8000031,6587.97998,,,,
,,151.8000031,6588,,,,
,,152.7899933,6588.060059,,,,
,,153.7899933,6588.189941,,,,
,,154.7899933,6588.379883,,,,
,,155.7799988,6588.689941,,,,
,,156.7799988,6589.120117,,,,
,,157.7799988,6589.589844,,,,
,,158.7799988,6590.169922,,,,
,,159.7700043,6590.720215,,,,
,,160.7700043,6591.180176,,,,
,,161.7700043,6591.569824,,,,
,,162.7599945,6591.930176,,,,
,,163.5200043,6592.240234,,,,
,,163.7599945,6592.330078,,,,
,,164.7599945,6592.75,,,,
,,165.7599945,6593.160156,,,,
,,166.75,6593.540039,,,,
,,167.75,6593.939941,,,,
,,168.75,6594.279785,,,,
,,169.7400055,6594.459961,,,,
,,170.7400055,6594.600098,,,,
,,171.7400055,6594.75,,,,
,,172.7400055,6594.879883,,,,
,,173.7299957,6594.959961,,,,
,,175.7299957,6595.080078,,,,
,,176.7200012,6595.149902,,,,
,,177.7200012,6595.220215,,,,
,,178.7200012,6595.27002,,,,
,,179.7100067,6595.350098,,,,
,,180.7100067,6595.52002,,,,
,,181.7100067,6595.72998,,,,
,,182.7100067,6595.970215,,,,
,,183.6999969,6596.259766,,,,
,,184.6999969,6596.640137,,,,
,,185.6999969,6597.060059,,,,
,,186.6900024,6597.540039,,,,
,,187.6900024,6598.279785,,,,
,,188.6900024,6599.259766,,,,
,,189.6900024,6600.290039,,,,
,,190.6799927,6601.310059,,,,
,,191.6799927,6602.350098,,,,
,,192.6799927,6603.359863,,,,
,,193.6699982,6604.319824,,,,
,,194.6699982,6605.299805,,,,
,,195.6699982,6606.310059,,,,
,,196.6699982,6607.330078,,,,
,,197.6600037,6608.339844,,,,
,,198.6600037,6609.359863,,,,
,,199.6600037,6610.370117,,,,
,,200.6499939,6611.390137,,,,
,,201.6499939,6612.399902,,,,
,,202.6499939,6613.430176,,,,
,,203.6399994,6614.509766,,,,
,,204.6399994,6615.600098,,,,
,,206.6399994,6617.720215,,,,
,,207.6300049,6618.790039,,,,
,,208.6300049,6619.879883,,,,
,,209.6300049,6620.959961,,,,
,,210.6199951,6622.049805,,,,
,,211.6199951,6623.129883,,,,
,,212.6199951,6624.220215,,,,
,,213.6199951,6625.310059,,,,
,,214.6100006,6626.390137,,,,
,,215.6100006,6627.450195,,,,
,,216.6100006,6628.399902,,,,
,,217.6000061,6628.919922,,,,
