,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.34,,,,,,,0,,,,,1,,,,,2,,,,,3,,,,,4,,,
,,,,,,,,,,,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev
XS,DIFF,MAX,AVERAGE,MIN,STDEV,0,1,2,3,4,,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft)
22797.07,0.24,6491.13,6491.03,6490.89,0.11,6491.13,6490.92,6491.04,6491.11,6490.89,,DS of Gold Run,22797.07,CWCB-100yr,6491.13,,DS of Gold Run,22785,CWCB-100yr,6490.44,,DS of Gold Run,22753,CWCB-100yr,6488.86,,DS of Gold Run,22690,CWCB-100yr,6487.35,,DS of Gold Run,22641,CWCB-100yr,6484.9
22586.27,0.54,6483.11,6482.81,6482.57,0.22,6482.57,6482.78,6483.08,6483.11,6482.94,,DS of Gold Run,22586.27,CWCB-100yr,6482.57,,DS of Gold Run,22566,CWCB-100yr,6482,,DS of Gold Run,22532,CWCB-100yr,6481.2,,DS of Gold Run,22515,CWCB-100yr,6480.19,,DS of Gold Run,22491,CWCB-100yr,6479.54
22472.58,0.39,6478.97,6478.79,6478.59,0.16,6478.8,6478.59,6478.97,6478.61,6478.79,,DS of Gold Run,22472.58,CWCB-100yr,6478.8,,DS of Gold Run,22465,CWCB-100yr,6478.31,,DS of Gold Run,22453,CWCB-100yr,6478.24,,DS of Gold Run,22444,CWCB-100yr,6477.54,,DS of Gold Run,22441,CWCB-100yr,6477.5
22435.48,0.50,6477.50,6477.22,6477.00,0.19,6477.5,6477.00,6477.16,6477.23,6477.36,,DS of Gold Run,22435.48,CWCB-100yr,6477.5,,DS of Gold Run,22425,CWCB-100yr,6476.53,,DS of Gold Run,22405,CWCB-100yr,6475.27,,DS of Gold Run,22360,CWCB-100yr,6474.46,,DS of Gold Run,22327,CWCB-100yr,6474.54
22290.02,0.37,6474.48,6474.36,6474.11,0.14,6474.33,6474.48,6474.26,6474.11,6474.23,,DS of Gold Run,22290.02,CWCB-100yr,6474.33,,DS of Gold Run,22274,CWCB-100yr,6474.24,,DS of Gold Run,22260,CWCB-100yr,6474,,DS of Gold Run,22251,CWCB-100yr,6473.92,,DS of Gold Run,22246,CWCB-100yr,6473.86
22238.77,0.00,6473.66,6473.66,6473.66,0.00,6473.66,6473.66,6473.66,6473.66,6473.66,,DS of Gold Run,22238.77,CWCB-100yr,6473.66,,DS of Gold Run,22238.77,CWCB-100yr,6473.66,,DS of Gold Run,22238.77,CWCB-100yr,6473.66,,DS of Gold Run,22238.77,CWCB-100yr,6473.66,,DS of Gold Run,22238.77,CWCB-100yr,6473.66
22227,,,,,,,,,,,,DS of Gold Run,22227,,,,DS of Gold Run,22227,,,,DS of Gold Run,22227,,,,DS of Gold Run,22227,,,,DS of Gold Run,22227,,
22214.08,0.03,6467.88,6467.87,6467.85,0.01,6467.85,6467.88,6467.88,6467.88,6467.88,,DS of Gold Run,22214.08,CWCB-100yr,6467.85,,DS of Gold Run,22214.08,CWCB-100yr,6467.88,,DS of Gold Run,22214.08,CWCB-100yr,6467.88,,DS of Gold Run,22214.08,CWCB-100yr,6467.88,,DS of Gold Run,22214.08,CWCB-100yr,6467.88
22145.46,0.65,6464.54,6464.01,6463.89,0.27,6463.99,6464.16,6463.89,6464.36,6464.54,,DS of Gold Run,22145.46,CWCB-100yr,6463.99,,DS of Gold Run,22132,CWCB-100yr,6463.43,,DS of Gold Run,22111,CWCB-100yr,6461.88,,DS of Gold Run,22081,CWCB-100yr,6461.05,,DS of Gold Run,22057,CWCB-100yr,6460.23
22036.57,1.55,6459.40,6458.66,6457.85,0.63,6459.4,6458.74,6457.85,6458.30,6459.13,,DS of Gold Run,22036.57,CWCB-100yr,6459.4,,DS of Gold Run,22019,CWCB-100yr,6457.88,,DS of Gold Run,22006,CWCB-100yr,6456.19,,DS of Gold Run,21968,CWCB-100yr,6454.05,,DS of Gold Run,21912,CWCB-100yr,6452.44
21860.42,0.73,6451.17,6450.86,6450.44,0.28,6450.44,6450.96,6451.17,6450.83,6451.02,,DS of Gold Run,21860.42,CWCB-100yr,6450.44,,DS of Gold Run,21839,CWCB-100yr,6450.03,,DS of Gold Run,21824,CWCB-100yr,6449.92,,DS of Gold Run,21790,CWCB-100yr,6448.73,,DS of Gold Run,21748,CWCB-100yr,6447.92
21713.12,0.99,6447.16,6446.65,6446.17,0.40,6447.16,6446.62,6446.17,6446.25,6446.69,,DS of Gold Run,21713.12,CWCB-100yr,6447.16,,DS of Gold Run,21703,CWCB-100yr,6446.35,,DS of Gold Run,21685,CWCB-100yr,6445.22,,DS of Gold Run,21660,CWCB-100yr,6444.54,,DS of Gold Run,21631,CWCB-100yr,6443.81
21607.41,0.21,6443.00,6442.94,6442.78,0.09,6442.97,6443.00,6442.87,6442.78,6442.81,,DS of Gold Run,21607.41,CWCB-100yr,6442.97,,DS of Gold Run,21599,CWCB-100yr,6442.7,,DS of Gold Run,21592,CWCB-100yr,6442.4,,DS of Gold Run,21563,CWCB-100yr,6441.3,,DS of Gold Run,21547,CWCB-100yr,6440.25
